parser,id,text,category,gold_intent,gold_target_lane,pred_intent,pred_target_lane,pred_source,fallback,intent_correct,target_correct,exact_match,lane_targeting_applicable,lane_targeting_correct,fp_oos_applicable,fp_oos,latency_ms_mean,latency_ms_min,latency_ms_max
rule,u001,change to lane 1,direct_imperative,CHANGE_LANE,lane1,CHANGE_LANE,lane1,rule,False,True,True,True,True,True,False,False,0.018113998521585017,0.018113998521585017,0.018113998521585017
rule,u002,change to lane 2,direct_imperative,CHANGE_LANE,lane2,CHANGE_LANE,lane2,rule,False,True,True,True,True,True,False,False,0.49914200099010486,0.49914200099010486,0.49914200099010486
rule,u003,switch to lane one,direct_imperative,CHANGE_LANE,lane1,CHANGE_LANE,lane1,rule,False,True,True,True,True,True,False,False,0.019687000531121157,0.019687000531121157,0.019687000531121157
rule,u004,switch to lane two,direct_imperative,CHANGE_LANE,lane2,CHANGE_LANE,lane2,rule,False,True,True,True,True,True,False,False,0.10999799997080117,0.10999799997080117,0.10999799997080117
rule,u005,move into lane 1,direct_imperative,CHANGE_LANE,lane1,CHANGE_LANE,lane1,rule,False,True,True,True,True,True,False,False,0.016600999515503645,0.016600999515503645,0.016600999515503645
rule,u006,move into lane 2,direct_imperative,CHANGE_LANE,lane2,CHANGE_LANE,lane2,rule,False,True,True,True,True,True,False,False,0.021830999685334973,0.021830999685334973,0.021830999685334973
rule,u007,merge into lane one,direct_imperative,CHANGE_LANE,lane1,CHANGE_LANE,lane1,rule,False,True,True,True,True,True,False,False,0.0170620005519595,0.0170620005519595,0.0170620005519595
rule,u008,merge into lane two,direct_imperative,CHANGE_LANE,lane2,CHANGE_LANE,lane2,rule,False,True,True,True,True,True,False,False,0.022141999579616822,0.022141999579616822,0.022141999579616822
rule,u009,go to lane 1,direct_imperative,CHANGE_LANE,lane1,CHANGE_LANE,lane1,rule,False,True,True,True,True,True,False,False,0.015048000932438299,0.015048000932438299,0.015048000932438299
rule,u010,go to lane 2,direct_imperative,CHANGE_LANE,lane2,CHANGE_LANE,lane2,rule,False,True,True,True,True,True,False,False,0.019887998860212974,0.019887998860212974,0.019887998860212974
rule,u011,take lane number one,direct_imperative,CHANGE_LANE,lane1,CHANGE_LANE,lane1,rule,False,True,True,True,True,True,False,False,0.018245000319438986,0.018245000319438986,0.018245000319438986
rule,u012,take lane number two,direct_imperative,CHANGE_LANE,lane2,CHANGE_LANE,lane2,rule,False,True,True,True,True,True,False,False,0.062027000240050256,0.062027000240050256,0.062027000240050256
rule,u013,enter lane 1,direct_imperative,CHANGE_LANE,lane1,FOLLOW_LANE,lane1,rule,False,False,True,False,True,True,False,False,0.015519000953645445,0.015519000953645445,0.015519000953645445
rule,u014,enter lane 2,direct_imperative,CHANGE_LANE,lane2,FOLLOW_LANE,lane2,rule,False,False,True,False,True,True,False,False,0.019106000763713382,0.019106000763713382,0.019106000763713382
rule,u015,shift to lane one,direct_imperative,CHANGE_LANE,lane1,CHANGE_LANE,lane1,rule,False,True,True,True,True,True,False,False,0.019457000234979205,0.019457000234979205,0.019457000234979205
rule,u016,shift to lane two,direct_imperative,CHANGE_LANE,lane2,CHANGE_LANE,lane2,rule,False,True,True,True,True,True,False,False,0.023905000489321537,0.023905000489321537,0.023905000489321537
rule,u017,transfer to lane 1,direct_imperative,CHANGE_LANE,lane1,FOLLOW_LANE,lane1,rule,False,False,True,False,True,True,False,False,0.01576999966346193,0.01576999966346193,0.01576999966346193
rule,u018,transfer to lane 2,direct_imperative,CHANGE_LANE,lane2,FOLLOW_LANE,lane2,rule,False,False,True,False,True,True,False,False,0.020167999537079595,0.020167999537079595,0.020167999537079595
rule,u019,get into lane number one,direct_imperative,CHANGE_LANE,lane1,FOLLOW_LANE,lane1,rule,False,False,True,False,True,True,False,False,0.01837399940995965,0.01837399940995965,0.01837399940995965
rule,u020,get into lane number two,direct_imperative,CHANGE_LANE,lane2,FOLLOW_LANE,lane2,rule,False,False,True,False,True,True,False,False,0.02369499998167157,0.02369499998167157,0.02369499998167157
rule,u021,move over to lane 1,direct_imperative,CHANGE_LANE,lane1,CHANGE_LANE,lane1,rule,False,True,True,True,True,True,False,False,0.018495000404072925,0.018495000404072925,0.018495000404072925
rule,u022,move over to lane 2,direct_imperative,CHANGE_LANE,lane2,CHANGE_LANE,lane2,rule,False,True,True,True,True,True,False,False,0.028623999241972342,0.028623999241972342,0.028623999241972342
rule,u023,set lane one as the target,direct_imperative,CHANGE_LANE,lane1,FOLLOW_LANE,lane1,rule,False,False,True,False,True,True,False,False,0.019736999092856422,0.019736999092856422,0.019736999092856422
rule,u024,set lane two as the target,direct_imperative,CHANGE_LANE,lane2,FOLLOW_LANE,lane2,rule,False,False,True,False,True,True,False,False,0.02352399860683363,0.02352399860683363,0.02352399860683363
rule,u025,proceed to lane 1,direct_imperative,CHANGE_LANE,lane1,FOLLOW_LANE,lane1,rule,False,False,True,False,True,True,False,False,0.0174429987964686,0.0174429987964686,0.0174429987964686
rule,u026,could you move to the left lane,polite_indirect,CHANGE_LANE,lane1,CHANGE_LANE,lane1,rule,False,True,True,True,True,True,False,False,0.02193200089095626,0.02193200089095626,0.02193200089095626
rule,u027,could you move to the right lane,polite_indirect,CHANGE_LANE,lane2,CHANGE_LANE,lane2,rule,False,True,True,True,True,True,False,False,0.13865099936083425,0.13865099936083425,0.13865099936083425
rule,u028,please head over to lane 1,polite_indirect,CHANGE_LANE,lane1,FOLLOW_LANE,lane1,rule,False,False,True,False,True,True,False,False,0.02550799945311155,0.02550799945311155,0.02550799945311155
